(1) 8-bit: 33.8903361538846, 4-bit: 16.022406506193057
(2) 8-bit: 40.28883561226045, 4-bit: 19.44409886718287
(3) 8-bit: 31.45462591673089, 4-bit: 11.120290685416062
(4) 8-bit: 37.569612222294566, 4-bit: 15.724675114943485
(5) 8-bit: 36.73463938584307, 4-bit: 17.588573918791802
(6) 8-bit: 42.881158903417436, 4-bit: 19.864935834698947
(7) 8-bit: 40.87930420119932, 4-bit: 19.239062087408936
(8) 8-bit: 36.95454903078824, 4-bit: 16.54575440440817
(9) 8-bit: 36.46323083743003, 4-bit: 15.44782161468495
(10) 8-bit: 34.47458405548521, 4-bit: 13.922441127948641
